name	chrom	strand	TSS	geneId	geneName
ENSMUST00000176288.1	chr3	+	96697132	ENSMUSG00000028101.18	Pias3
ENSMUST00000176302.7	chr3	+	96697193	ENSMUSG00000028101.18	Pias3
ENSMUST00000162707.8	chr3	+	96700477	ENSMUSG00000028101.18	Pias3
ENSMUST00000161296.1	chr3	+	96701352	ENSMUSG00000028101.18	Pias3
ENSMUST00000162156.2	chr3	+	96704165	ENSMUSG00000028101.18	Pias3
ENSMUST00000196194.4	chr3	+	98382480	ENSMUSG00000050064.14	Zfp697
ENSMUST00000056096.14	chr3	+	98382480	ENSMUSG00000050064.14	Zfp697
ENSMUST00000178372.1	chr3	+	98382547	ENSMUSG00000050064.14	Zfp697
ENSMUST00000151606.7	chr3	+	99240380	ENSMUSG00000027868.11	Tbx15
ENSMUST00000150756.2	chr3	+	99296509	ENSMUSG00000027868.11	Tbx15
ENSMUST00000196324.1	chr3	+	102010075	ENSMUSG00000048540.8	Nhlh2
ENSMUST00000066187.5	chr3	+	102010145	ENSMUSG00000048540.8	Nhlh2
ENSMUST00000198675.1	chr3	+	102010154	ENSMUSG00000048540.8	Nhlh2
ENSMUST00000058899.12	chr3	-	102964133	ENSMUSG00000048938.12	Nr1h5
ENSMUST00000196135.1	chr3	-	102958383	ENSMUSG00000048938.12	Nr1h5
ENSMUST00000196983.4	chr3	-	102958383	ENSMUSG00000048938.12	Nr1h5
ENSMUST00000197412.4	chr3	-	102958383	ENSMUSG00000048938.12	Nr1h5
ENSMUST00000198472.4	chr3	-	102958383	ENSMUSG00000048938.12	Nr1h5
ENSMUST00000198906.1	chr3	+	103029001	ENSMUSG00000068823.10	Csde1
ENSMUST00000196521.1	chr3	+	103029094	ENSMUSG00000068823.10	Csde1
ENSMUST00000198944.4	chr3	+	103030164	ENSMUSG00000068823.10	Csde1
ENSMUST00000197154.4	chr3	+	103039739	ENSMUSG00000068823.10	Csde1
ENSMUST00000200617.1	chr3	+	103039998	ENSMUSG00000068823.10	Csde1
ENSMUST00000195889.4	chr3	+	103040027	ENSMUSG00000068823.10	Csde1
ENSMUST00000198174.1	chr3	+	103043192	ENSMUSG00000068823.10	Csde1
ENSMUST00000197939.1	chr3	+	103043541	ENSMUSG00000068823.10	Csde1
ENSMUST00000196685.1	chr3	+	103050000	ENSMUSG00000068823.10	Csde1
ENSMUST00000197844.1	chr3	+	103056053	ENSMUSG00000068823.10	Csde1
ENSMUST00000117150.7	chr3	+	103968109	ENSMUSG00000058388.14	Phtf1
ENSMUST00000063717.13	chr3	+	103968257	ENSMUSG00000058388.14	Phtf1
ENSMUST00000145727.7	chr3	+	103968365	ENSMUSG00000058388.14	Phtf1
ENSMUST00000055425.14	chr3	+	103968367	ENSMUSG00000058388.14	Phtf1
ENSMUST00000150090.7	chr3	+	103968371	ENSMUSG00000058388.14	Phtf1
ENSMUST00000123611.7	chr3	+	103968373	ENSMUSG00000058388.14	Phtf1
ENSMUST00000090685.10	chr3	+	103968445	ENSMUSG00000058388.14	Phtf1
ENSMUST00000156262.7	chr3	+	103968587	ENSMUSG00000058388.14	Phtf1
ENSMUST00000150849.2	chr3	+	103968924	ENSMUSG00000058388.14	Phtf1
ENSMUST00000130385.1	chr3	+	103996419	ENSMUSG00000058388.14	Phtf1
ENSMUST00000014747.2	chr3	+	107595030	ENSMUSG00000014603.3	Alx3
ENSMUST00000233202.1	chr3	+	107600435	ENSMUSG00000014603.3	Alx3
ENSMUST00000029587.8	chr3	+	127633134	ENSMUSG00000027967.8	Neurog2
ENSMUST00000174661.8	chr3	+	129199877	ENSMUSG00000028023.16	Pitx2
ENSMUST00000029657.15	chr3	+	129199921	ENSMUSG00000028023.16	Pitx2
ENSMUST00000106382.10	chr3	+	129199925	ENSMUSG00000028023.16	Pitx2
ENSMUST00000173645.3	chr3	+	129199968	ENSMUSG00000028023.16	Pitx2
ENSMUST00000172645.7	chr3	+	129203946	ENSMUSG00000028023.16	Pitx2
ENSMUST00000187145.1	chr3	+	129213931	ENSMUSG00000028023.16	Pitx2
ENSMUST00000042587.11	chr3	+	129213971	ENSMUSG00000028023.16	Pitx2
ENSMUST00000174623.2	chr3	+	129214274	ENSMUSG00000028023.16	Pitx2
ENSMUST00000136147.7	chr3	+	131112796	ENSMUSG00000027985.14	Lef1
ENSMUST00000132737.5	chr3	+	131112805	ENSMUSG00000027985.14	Lef1
ENSMUST00000200166.4	chr3	+	131113813	ENSMUSG00000027985.14	Lef1
ENSMUST00000098603.7	chr3	-	133544390	ENSMUSG00000040943.12	Tet2
ENSMUST00000199381.1	chr3	-	133474819	ENSMUSG00000040943.12	Tet2
ENSMUST00000196398.4	chr3	-	133544368	ENSMUSG00000040943.12	Tet2
ENSMUST00000197211.1	chr3	-	133471817	ENSMUSG00000040943.12	Tet2
ENSMUST00000198974.1	chr3	-	133476570	ENSMUSG00000040943.12	Tet2
ENSMUST00000199176.1	chr3	-	133478926	ENSMUSG00000040943.12	Tet2
ENSMUST00000200203.1	chr3	-	133480682	ENSMUSG00000040943.12	Tet2
ENSMUST00000197118.4	chr3	-	133545139	ENSMUSG00000040943.12	Tet2
ENSMUST00000196292.1	chr3	-	133544302	ENSMUSG00000040943.12	Tet2
ENSMUST00000195913.1	chr3	-	133544286	ENSMUSG00000040943.12	Tet2
ENSMUST00000132668.7	chr3	-	135608270	ENSMUSG00000028163.17	Nfkb1
ENSMUST00000184550.7	chr3	-	135603796	ENSMUSG00000028163.17	Nfkb1
ENSMUST00000129428.7	chr3	-	135608483	ENSMUSG00000028163.17	Nfkb1
ENSMUST00000150007.1	chr3	-	135594441	ENSMUSG00000028163.17	Nfkb1
ENSMUST00000199588.1	chr3	-	135603859	ENSMUSG00000028163.17	Nfkb1
ENSMUST00000196246.1	chr3	-	135622142	ENSMUSG00000028163.17	Nfkb1
ENSMUST00000138115.7	chr3	+	152395524	ENSMUSG00000039068.16	Zzz3
ENSMUST00000135044.2	chr3	+	152457416	ENSMUSG00000039068.16	Zzz3
ENSMUST00000177846.7	chr3	-	154330659	ENSMUSG00000096225.7	Lhx8
ENSMUST00000205251.2	chr3	-	154330059	ENSMUSG00000096225.7	Lhx8
ENSMUST00000204171.2	chr3	-	154328166	ENSMUSG00000096225.7	Lhx8
ENSMUST00000203692.1	chr3	-	154324883	ENSMUSG00000096225.7	Lhx8
ENSMUST00000204403.1	chr3	-	154328634	ENSMUSG00000096225.7	Lhx8
ENSMUST00000169423.8	chr4	-	151861669	ENSMUSG00000014592.21	Camta1
ENSMUST00000108180.8	chr4	+	32238803	ENSMUSG00000040270.16	Bach2
ENSMUST00000037416.12	chr4	+	32238949	ENSMUSG00000040270.16	Bach2
ENSMUST00000171600.1	chr4	+	32417434	ENSMUSG00000040270.16	Bach2
ENSMUST00000176012.7	chr4	+	119537003	ENSMUSG00000032998.16	Foxj3
ENSMUST00000094464.9	chr4	+	148804428	ENSMUSG00000028977.17	Casz1
ENSMUST00000122222.7	chr4	+	148804428	ENSMUSG00000028977.17	Casz1
ENSMUST00000003369.9	chr4	-	3938382	ENSMUSG00000003282.9	Plag1
ENSMUST00000137439.7	chr4	-	3938405	ENSMUSG00000003282.9	Plag1
ENSMUST00000151543.1	chr4	-	3938423	ENSMUSG00000003282.9	Plag1
ENSMUST00000147035.1	chr4	-	3938393	ENSMUSG00000003282.9	Plag1
ENSMUST00000039987.3	chr4	-	6990799	ENSMUSG00000041272.11	Tox
ENSMUST00000147657.7	chr4	-	6991557	ENSMUSG00000041272.11	Tox
ENSMUST00000150082.1	chr4	-	6990483	ENSMUSG00000041272.11	Tox
ENSMUST00000149201.7	chr4	+	32239076	ENSMUSG00000040270.16	Bach2
ENSMUST00000098163.8	chr4	-	34882930	ENSMUSG00000039967.14	Zfp292
ENSMUST00000047950.5	chr4	-	34882960	ENSMUSG00000039967.14	Zfp292
ENSMUST00000098143.10	chr4	+	40970905	ENSMUSG00000028423.15	Nfx1
ENSMUST00000014174.13	chr4	-	44710487	ENSMUSG00000014030.15	Pax5
ENSMUST00000102932.9	chr4	-	44710418	ENSMUSG00000014030.15	Pax5
ENSMUST00000107825.8	chr4	-	44710418	ENSMUSG00000014030.15	Pax5
ENSMUST00000107826.8	chr4	-	44710418	ENSMUSG00000014030.15	Pax5
ENSMUST00000107827.8	chr4	-	44710418	ENSMUSG00000014030.15	Pax5
ENSMUST00000143235.7	chr4	-	44710418	ENSMUSG00000014030.15	Pax5
ENSMUST00000134968.8	chr4	-	44710408	ENSMUSG00000014030.15	Pax5
ENSMUST00000165417.8	chr4	-	44710408	ENSMUSG00000014030.15	Pax5
ENSMUST00000172866.7	chr4	-	44710408	ENSMUSG00000014030.15	Pax5
ENSMUST00000173733.7	chr4	-	44710408	ENSMUSG00000014030.15	Pax5
ENSMUST00000173821.7	chr4	-	44710408	ENSMUSG00000014030.15	Pax5
ENSMUST00000174242.7	chr4	-	44710408	ENSMUSG00000014030.15	Pax5
ENSMUST00000174319.7	chr4	-	44710408	ENSMUSG00000014030.15	Pax5
ENSMUST00000194075.1	chr4	-	44645723	ENSMUSG00000014030.15	Pax5
ENSMUST00000146335.7	chr4	-	44704006	ENSMUSG00000014030.15	Pax5
ENSMUST00000174761.7	chr4	-	44703413	ENSMUSG00000014030.15	Pax5
ENSMUST00000186542.1	chr4	-	44703413	ENSMUSG00000014030.15	Pax5
ENSMUST00000187197.6	chr4	-	44703413	ENSMUSG00000014030.15	Pax5
ENSMUST00000191036.1	chr4	-	44703413	ENSMUSG00000014030.15	Pax5
ENSMUST00000030043.12	chr4	+	62965572	ENSMUSG00000028358.15	Zfp618
ENSMUST00000107415.7	chr4	+	62965572	ENSMUSG00000028358.15	Zfp618
ENSMUST00000064814.5	chr4	+	62965573	ENSMUSG00000028358.15	Zfp618
ENSMUST00000050872.14	chr4	-	82505308	ENSMUSG00000008575.17	Nfib
ENSMUST00000107245.8	chr4	-	82505770	ENSMUSG00000008575.17	Nfib
ENSMUST00000064770.8	chr4	-	82505308	ENSMUSG00000008575.17	Nfib
ENSMUST00000107247.7	chr4	-	82505707	ENSMUSG00000008575.17	Nfib
ENSMUST00000107248.7	chr4	-	82505707	ENSMUSG00000008575.17	Nfib
ENSMUST00000107246.1	chr4	-	82505770	ENSMUSG00000008575.17	Nfib
ENSMUST00000122918.7	chr4	-	82505310	ENSMUSG00000008575.17	Nfib
ENSMUST00000140874.7	chr4	-	82505310	ENSMUSG00000008575.17	Nfib
ENSMUST00000148982.1	chr4	-	82505764	ENSMUSG00000008575.17	Nfib
ENSMUST00000155821.1	chr4	-	82705750	ENSMUSG00000008575.17	Nfib
ENSMUST00000102820.8	chr4	-	84675034	ENSMUSG00000028487.18	Bnc2
ENSMUST00000107198.8	chr4	-	84675067	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176612.7	chr4	-	84675275	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176971.1	chr4	-	84291757	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176691.7	chr4	-	84675086	ENSMUSG00000028487.18	Bnc2
ENSMUST00000177277.7	chr4	-	84291930	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176702.7	chr4	-	84292146	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176601.1	chr4	-	84291868	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176998.7	chr4	-	84291868	ENSMUSG00000028487.18	Bnc2
ENSMUST00000175800.7	chr4	-	84674996	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176418.7	chr4	-	84674996	ENSMUSG00000028487.18	Bnc2
ENSMUST00000175757.7	chr4	-	84507739	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176947.7	chr4	-	84675027	ENSMUSG00000028487.18	Bnc2
ENSMUST00000175969.7	chr4	-	84674997	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176476.7	chr4	-	84533396	ENSMUSG00000028487.18	Bnc2
ENSMUST00000123276.7	chr4	-	84674999	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176346.7	chr4	-	84674997	ENSMUSG00000028487.18	Bnc2
ENSMUST00000177256.7	chr4	-	84546619	ENSMUSG00000028487.18	Bnc2
ENSMUST00000175756.7	chr4	-	84675078	ENSMUSG00000028487.18	Bnc2
ENSMUST00000177040.1	chr4	-	84546290	ENSMUSG00000028487.18	Bnc2
ENSMUST00000176370.1	chr4	-	84674999	ENSMUSG00000028487.18	Bnc2
ENSMUST00000152023.7	chr4	+	97772733	ENSMUSG00000028565.18	Nfia
ENSMUST00000075448.12	chr4	+	97777607	ENSMUSG00000028565.18	Nfia
ENSMUST00000092532.12	chr4	+	97777625	ENSMUSG00000028565.18	Nfia
ENSMUST00000107062.8	chr4	+	97777802	ENSMUSG00000028565.18	Nfia
ENSMUST00000052018.11	chr4	+	97777818	ENSMUSG00000028565.18	Nfia
ENSMUST00000107057.7	chr4	+	97777833	ENSMUSG00000028565.18	Nfia
ENSMUST00000148930.2	chr4	+	97880118	ENSMUSG00000028565.18	Nfia
ENSMUST00000133011.1	chr4	+	97911032	ENSMUSG00000028565.18	Nfia
ENSMUST00000106858.7	chr4	+	103114394	ENSMUSG00000028522.16	Mier1
ENSMUST00000030247.10	chr4	+	103115559	ENSMUSG00000028522.16	Mier1
ENSMUST00000097945.9	chr4	+	103115637	ENSMUSG00000028522.16	Mier1
ENSMUST00000106857.7	chr4	+	103119285	ENSMUSG00000028522.16	Mier1
ENSMUST00000106855.1	chr4	+	103143056	ENSMUSG00000028522.16	Mier1
ENSMUST00000135835.7	chr4	+	107434616	ENSMUSG00000034762.9	Glis1
ENSMUST00000046005.8	chr4	+	107434718	ENSMUSG00000034762.9	Glis1
ENSMUST00000106738.1	chr4	+	107438997	ENSMUSG00000034762.9	Glis1
ENSMUST00000138211.7	chr4	+	107581202	ENSMUSG00000034762.9	Glis1
ENSMUST00000144907.7	chr4	+	119733783	ENSMUSG00000028634.17	Hivep3
ENSMUST00000141605.7	chr4	+	119733783	ENSMUSG00000028634.17	Hivep3
ENSMUST00000123698.7	chr4	+	119733840	ENSMUSG00000028634.17	Hivep3
ENSMUST00000125069.7	chr4	+	119761244	ENSMUSG00000028634.17	Hivep3
ENSMUST00000143837.1	chr4	+	119814330	ENSMUSG00000028634.17	Hivep3
ENSMUST00000106307.8	chr4	+	119814494	ENSMUSG00000028634.17	Hivep3
ENSMUST00000227491.1	chr4	+	120032765	ENSMUSG00000028634.17	Hivep3
ENSMUST00000030610.2	chr4	-	129378116	ENSMUSG00000028807.2	Zbtb8a
ENSMUST00000168553.7	chr4	-	132252494	ENSMUSG00000028901.13	Gmeb1
ENSMUST00000105965.7	chr4	-	132261521	ENSMUSG00000028901.13	Gmeb1
ENSMUST00000030733.8	chr4	-	132251852	ENSMUSG00000028901.13	Gmeb1
ENSMUST00000105964.1	chr4	-	132261602	ENSMUSG00000028901.13	Gmeb1
ENSMUST00000105897.9	chr4	-	133753611	ENSMUSG00000007880.16	Arid1a
ENSMUST00000145664.8	chr4	-	133753611	ENSMUSG00000007880.16	Arid1a
ENSMUST00000008024.6	chr4	-	133756769	ENSMUSG00000007880.16	Arid1a
ENSMUST00000138473.2	chr4	-	133753982	ENSMUSG00000007880.16	Arid1a
ENSMUST00000056977.13	chr4	+	135120651	ENSMUSG00000070691.10	Runx3
ENSMUST00000061721.5	chr4	+	136172393	ENSMUSG00000018983.9	E2f2
ENSMUST00000149750.1	chr4	+	136180782	ENSMUSG00000018983.9	E2f2
ENSMUST00000105778.7	chr4	-	143212705	ENSMUSG00000057637.13	Prdm2
ENSMUST00000105739.7	chr4	+	145585165	ENSMUSG00000078502.10	Gm13212
ENSMUST00000119718.7	chr4	+	145585202	ENSMUSG00000078502.10	Gm13212
ENSMUST00000097794.3	chr4	+	145617145	ENSMUSG00000078502.10	Gm13212
ENSMUST00000123460.1	chr4	+	145868793	ENSMUSG00000078500.3	Zfp986
ENSMUST00000105735.8	chr4	+	146502026	ENSMUSG00000056300.14	Zfp981
ENSMUST00000179175.2	chr4	+	146514919	ENSMUSG00000056300.14	Zfp981
ENSMUST00000148762.3	chr4	+	147305673	ENSMUSG00000078498.5	Zfp988
ENSMUST00000105682.8	chr4	+	150281645	ENSMUSG00000039852.17	Rere
ENSMUST00000105680.8	chr4	+	150488392	ENSMUSG00000039852.17	Rere
ENSMUST00000137112.1	chr4	+	150569656	ENSMUSG00000039852.17	Rere
ENSMUST00000097774.8	chr4	-	151861876	ENSMUSG00000014592.21	Camta1
ENSMUST00000049790.13	chr4	-	151861746	ENSMUSG00000014592.21	Camta1
ENSMUST00000105668.7	chr4	-	151129495	ENSMUSG00000014592.21	Camta1
ENSMUST00000143434.1	chr4	-	151139584	ENSMUSG00000014592.21	Camta1
ENSMUST00000155685.7	chr4	-	151861650	ENSMUSG00000014592.21	Camta1
ENSMUST00000153938.2	chr4	-	151861704	ENSMUSG00000014592.21	Camta1
ENSMUST00000030902.12	chr4	-	154636866	ENSMUSG00000039410.16	Prdm16
ENSMUST00000070313.13	chr4	-	154636866	ENSMUSG00000039410.16	Prdm16
ENSMUST00000097759.8	chr4	-	154636866	ENSMUSG00000039410.16	Prdm16
ENSMUST00000105636.7	chr4	-	154636866	ENSMUSG00000039410.16	Prdm16
ENSMUST00000105637.7	chr4	-	154636866	ENSMUSG00000039410.16	Prdm16
ENSMUST00000105638.8	chr4	-	154636866	ENSMUSG00000039410.16	Prdm16
ENSMUST00000141164.7	chr4	-	154636866	ENSMUSG00000039410.16	Prdm16
ENSMUST00000124771.1	chr4	-	154636873	ENSMUSG00000039410.16	Prdm16
ENSMUST00000149605.1	chr4	-	154636797	ENSMUSG00000039410.16	Prdm16
ENSMUST00000125974.1	chr4	-	6689351	ENSMUSG00000041272.11	Tox
ENSMUST00000144160.7	chr4	-	21685963	ENSMUSG00000040478.14	Prdm13
ENSMUST00000076206.10	chr4	-	21685783	ENSMUSG00000040478.14	Prdm13
ENSMUST00000095141.3	chr4	-	21685963	ENSMUSG00000040478.14	Prdm13
ENSMUST00000139255.7	chr4	-	21685783	ENSMUSG00000040478.14	Prdm13
ENSMUST00000149516.7	chr4	-	21685781	ENSMUSG00000040478.14	Prdm13
ENSMUST00000139568.1	chr4	-	21685845	ENSMUSG00000040478.14	Prdm13
ENSMUST00000178174.2	chr4	-	22488366	ENSMUSG00000095139.2	Pou3f2
ENSMUST00000156430.1	chr4	+	32247763	ENSMUSG00000040270.16	Bach2
ENSMUST00000146748.1	chr4	+	32501504	ENSMUSG00000040270.16	Bach2
ENSMUST00000125263.1	chr4	+	32574930	ENSMUSG00000040270.16	Bach2
ENSMUST00000091614.6	chr4	+	40970905	ENSMUSG00000028423.15	Nfx1
ENSMUST00000030133.14	chr4	+	40970905	ENSMUSG00000028423.15	Nfx1
ENSMUST00000143798.1	chr4	+	41002509	ENSMUSG00000028423.15	Nfx1
ENSMUST00000124595.7	chr4	+	41009206	ENSMUSG00000028423.15	Nfx1
ENSMUST00000136717.1	chr4	+	41021365	ENSMUSG00000028423.15	Nfx1
ENSMUST00000131305.1	chr4	+	41023203	ENSMUSG00000028423.15	Nfx1
ENSMUST00000171251.7	chr4	-	41731142	ENSMUSG00000066224.14	Arid3c
ENSMUST00000084698.11	chr4	-	41730286	ENSMUSG00000066224.14	Arid3c
ENSMUST00000150809.2	chr4	-	41730286	ENSMUSG00000066224.14	Arid3c
ENSMUST00000102944.10	chr4	+	43562331	ENSMUSG00000028466.15	Creb3
ENSMUST00000167751.1	chr4	+	43562812	ENSMUSG00000028466.15	Creb3
ENSMUST00000132631.1	chr4	+	43562946	ENSMUSG00000028466.15	Creb3
ENSMUST00000126277.8	chr4	+	43563266	ENSMUSG00000028466.15	Creb3
ENSMUST00000159923.1	chr4	+	43563429	ENSMUSG00000028466.15	Creb3
ENSMUST00000138623.1	chr4	+	43566014	ENSMUSG00000028466.15	Creb3
ENSMUST00000172949.7	chr4	-	44683815	ENSMUSG00000014030.15	Pax5
ENSMUST00000055028.8	chr4	-	45012394	ENSMUSG00000049657.9	Zbtb5
ENSMUST00000180217.1	chr4	-	45012412	ENSMUSG00000049657.9	Zbtb5
ENSMUST00000107817.2	chr4	-	45012412	ENSMUSG00000049657.9	Zbtb5
ENSMUST00000131991.1	chr4	-	45012145	ENSMUSG00000049657.9	Zbtb5
ENSMUST00000058232.10	chr4	-	46196311	ENSMUSG00000028329.13	Xpa
ENSMUST00000132358.7	chr4	-	46185649	ENSMUSG00000028329.13	Xpa
ENSMUST00000141318.1	chr4	-	46185682	ENSMUSG00000028329.13	Xpa
ENSMUST00000030013.11	chr4	-	46196311	ENSMUSG00000028329.13	Xpa
ENSMUST00000142380.1	chr4	-	46196304	ENSMUSG00000028329.13	Xpa
ENSMUST00000130051.1	chr4	-	46186594	ENSMUSG00000028329.13	Xpa
ENSMUST00000095097.2	chr4	+	46343608	ENSMUSG00000070990.2	Foxe1
ENSMUST00000030025.9	chr4	+	48045152	ENSMUSG00000028341.9	Nr4a3
ENSMUST00000154186.1	chr4	+	48045230	ENSMUSG00000028341.9	Nr4a3
ENSMUST00000153369.1	chr4	+	48049113	ENSMUSG00000028341.9	Nr4a3
ENSMUST00000133539.1	chr4	+	48051247	ENSMUSG00000028341.9	Nr4a3
ENSMUST00000042964.12	chr4	+	49521175	ENSMUSG00000039634.12	Zfp189
ENSMUST00000107696.1	chr4	+	49521216	ENSMUSG00000039634.12	Zfp189
ENSMUST00000030124.3	chr4	+	53779704	ENSMUSG00000028417.3	Tal2
ENSMUST00000107619.2	chr4	-	55532466	ENSMUSG00000003032.8	Klf4
ENSMUST00000129250.1	chr4	-	55531770	ENSMUSG00000003032.8	Klf4
ENSMUST00000132746.1	chr4	-	55532453	ENSMUSG00000003032.8	Klf4
ENSMUST00000107554.1	chr4	+	58943627	ENSMUSG00000038630.8	Zkscan16
ENSMUST00000068822.3	chr4	-	62208446	ENSMUSG00000028389.12	Zfp37
ENSMUST00000222748.1	chr4	-	62208202	ENSMUSG00000028389.12	Zfp37
ENSMUST00000222050.1	chr4	-	62208430	ENSMUSG00000028389.12	Zfp37
ENSMUST00000220873.1	chr4	-	62207889	ENSMUSG00000028389.12	Zfp37
ENSMUST00000129511.2	chr4	-	62208361	ENSMUSG00000028389.12	Zfp37
ENSMUST00000221329.1	chr4	-	62208361	ENSMUSG00000028389.12	Zfp37
ENSMUST00000212325.1	chr4	-	62231047	ENSMUSG00000028389.12	Zfp37
ENSMUST00000151324.1	chr4	+	63120399	ENSMUSG00000028358.15	Zfp618
ENSMUST00000035724.4	chr4	-	63403354	ENSMUSG00000039158.11	Akna
ENSMUST00000140586.1	chr4	-	63381203	ENSMUSG00000039158.11	Akna
ENSMUST00000135024.1	chr4	-	82505779	ENSMUSG00000008575.17	Nfib
ENSMUST00000152588.1	chr4	-	82499316	ENSMUSG00000008575.17	Nfib
ENSMUST00000176264.1	chr4	-	84523693	ENSMUSG00000028487.18	Bnc2
ENSMUST00000131576.1	chr4	+	89679435	ENSMUSG00000043753.2	Dmrta1
ENSMUST00000052478.2	chr4	+	89688197	ENSMUSG00000043753.2	Dmrta1
ENSMUST00000107129.1	chr4	+	90218819	ENSMUSG00000070902.5	Zfp352
ENSMUST00000080541.4	chr4	+	90223624	ENSMUSG00000070902.5	Zfp352
ENSMUST00000075872.3	chr4	-	94979100	ENSMUSG00000062627.9	Mysm1
ENSMUST00000124820.7	chr4	-	94953388	ENSMUSG00000062627.9	Mysm1
ENSMUST00000125427.1	chr4	-	94953518	ENSMUSG00000062627.9	Mysm1
ENSMUST00000149954.7	chr4	-	94979075	ENSMUSG00000062627.9	Mysm1
ENSMUST00000134730.7	chr4	-	94979042	ENSMUSG00000062627.9	Mysm1
ENSMUST00000155935.7	chr4	-	94970651	ENSMUSG00000062627.9	Mysm1
ENSMUST00000132758.7	chr4	-	94979078	ENSMUSG00000062627.9	Mysm1
ENSMUST00000131575.7	chr4	-	94979053	ENSMUSG00000062627.9	Mysm1
ENSMUST00000136130.1	chr4	-	94979075	ENSMUSG00000062627.9	Mysm1
ENSMUST00000107094.1	chr4	-	95052222	ENSMUSG00000052684.4	Jun
ENSMUST00000087285.4	chr4	+	99656298	ENSMUSG00000067261.4	Foxd3
ENSMUST00000136092.1	chr4	+	103114389	ENSMUSG00000028522.16	Mier1
ENSMUST00000137348.7	chr4	+	103114430	ENSMUSG00000028522.16	Mier1
ENSMUST00000149259.7	chr4	+	103114464	ENSMUSG00000028522.16	Mier1
ENSMUST00000143417.7	chr4	+	103114761	ENSMUSG00000028522.16	Mier1
ENSMUST00000144219.1	chr4	+	103114955	ENSMUSG00000028522.16	Mier1
ENSMUST00000134533.7	chr4	+	103115271	ENSMUSG00000028522.16	Mier1
ENSMUST00000147491.1	chr4	+	103117294	ENSMUSG00000028522.16	Mier1
ENSMUST00000151588.7	chr4	+	103119389	ENSMUSG00000028522.16	Mier1
ENSMUST00000124348.1	chr4	+	103119409	ENSMUSG00000028522.16	Mier1
ENSMUST00000128536.1	chr4	+	103158585	ENSMUSG00000028522.16	Mier1
ENSMUST00000130573.1	chr4	+	107434590	ENSMUSG00000034762.9	Glis1
ENSMUST00000125573.1	chr4	+	107614999	ENSMUSG00000034762.9	Glis1
ENSMUST00000131776.7	chr4	-	107683580	ENSMUSG00000028610.16	Dmrtb1
ENSMUST00000069271.4	chr4	-	107684230	ENSMUSG00000028610.16	Dmrtb1
ENSMUST00000131508.1	chr4	-	107680960	ENSMUSG00000028610.16	Dmrtb1
ENSMUST00000061187.3	chr4	+	109978052	ENSMUSG00000047143.3	Dmrta2
ENSMUST00000068654.4	chr4	-	114908873	ENSMUSG00000055210.4	Foxd2
ENSMUST00000050940.3	chr4	-	114926013	ENSMUSG00000044518.3	Foxe3
ENSMUST00000030489.8	chr4	+	115056425	ENSMUSG00000028717.12	Tal1
ENSMUST00000136946.7	chr4	+	115057437	ENSMUSG00000028717.12	Tal1
ENSMUST00000161601.7	chr4	+	115057810	ENSMUSG00000028717.12	Tal1
ENSMUST00000162489.1	chr4	+	115059507	ENSMUSG00000028717.12	Tal1
ENSMUST00000064806.12	chr4	-	115925638	ENSMUSG00000028707.15	Dmbx1
ENSMUST00000124071.8	chr4	-	115939926	ENSMUSG00000028707.15	Dmbx1
ENSMUST00000084338.6	chr4	-	115939926	ENSMUSG00000028707.15	Dmbx1
ENSMUST00000030460.14	chr4	+	116557657	ENSMUSG00000034042.16	Gpbp1l1
ENSMUST00000106475.1	chr4	+	116558078	ENSMUSG00000034042.16	Gpbp1l1
ENSMUST00000131913.1	chr4	+	116578798	ENSMUSG00000034042.16	Gpbp1l1
ENSMUST00000138837.1	chr4	+	116581352	ENSMUSG00000034042.16	Gpbp1l1
ENSMUST00000203629.1	chr4	+	117724411	ENSMUSG00000108127.1	Gm12845
ENSMUST00000204276.1	chr4	+	117724474	ENSMUSG00000108127.1	Gm12845
ENSMUST00000062747.5	chr4	-	117765648	ENSMUSG00000048626.5	Klf17
ENSMUST00000052715.9	chr4	-	119173856	ENSMUSG00000045268.13	Zfp691
ENSMUST00000106355.4	chr4	-	119174195	ENSMUSG00000045268.13	Zfp691
ENSMUST00000179290.7	chr4	-	119173856	ENSMUSG00000045268.13	Zfp691
ENSMUST00000154226.1	chr4	-	119173856	ENSMUSG00000045268.13	Zfp691
ENSMUST00000079644.12	chr4	-	119294604	ENSMUSG00000028639.14	Ybx1
ENSMUST00000127737.1	chr4	-	119282792	ENSMUSG00000028639.14	Ybx1
ENSMUST00000145976.1	chr4	-	119279450	ENSMUSG00000028639.14	Ybx1
ENSMUST00000144992.1	chr4	-	119282186	ENSMUSG00000028639.14	Ybx1
ENSMUST00000139897.7	chr4	-	119294490	ENSMUSG00000028639.14	Ybx1
ENSMUST00000142884.1	chr4	-	119294480	ENSMUSG00000028639.14	Ybx1
